"names"
"Jake McCarthy"
"Garrett Mitchell"
"David Peralta"
"Anthony Rizzo"
"Brayan Rocchio"
"Josh Rojas"
"Donovan Solano"
"Lenyn Sosa"
"Jose Trevino"
"Nelson Velázquez"
"LaMonte Wade Jr."
"Patrick Wisdom"
"Kevin Pillar"
"Kevin Pillar"
"Kevin Pillar"
"Isiah Kiner-Falefa"
"Isiah Kiner-Falefa"
"Isiah Kiner-Falefa"
"Addison Barger"
"Mark Canha"
"Mark Canha"
"Mark Canha"
"Jake Cave"
"Tyler Freeman"
"Maikel Garcia"
"Nick Gonzales"
"Nico Hoerner"
"Josh Jung"
"Starling Marte"
"Tyler Nevin"
"Pedro Pagés"
"Ben Rice"
"Max Schuemann"
"Nick Senzel"
"Nick Senzel"
"Nick Senzel"
"Edmundo Sosa"
"Mike Tauchman"
"Tyrone Taylor"
"Brice Turang"
"Christian Vázquez"
"Derek Hill"
"Derek Hill"
"Derek Hill"
"Derek Hill"
"Derek Hill"
"Jonathan Aranda"
"Javier Báez"
"Junior Caminero"
"Jonny DeLuca"
"Tommy Edman"
"Freddy Fermin"
"Romy González"
"Otto López"
"Blake Perkins"
"Luis Rengifo"
"Miguel Rojas"
"Casey Schmitt"
"Dominic Smith"
"Dominic Smith"
"Dominic Smith"
"Abraham Toro"
"Enmanuel Valdéz"
"Juan Yepez"
"Elias Díaz"
"Elias Díaz"
"Elias Díaz"
"Eloy Jiménez"
"Eloy Jiménez"
"Eloy Jiménez"
"Willie Calhoun"
"Daz Cameron"
"Evan Carter"
"Kody Clemens"
"Jerar Encarnación"
"Kyle Farmer"
"Jake Fraley"
"Eric Haase"
"Iván Herrera"
"Rece Hinds"
"Jackson Holliday"
"Andy Ibáñez"
"Alex Kirilloff"
"Alejandro Kirk"
"Kyle Manzardo"
"Nick Martini"
"Jorge Mateo"
"Luis Matos"
"Kyle McCann"
"Chas McCormick"
"Grant McCray"
"Gabriel Moreno"
"Edward Olivares"
"Richie Palacios"
"Daniel Schneemann"
"DJ Stewart"
